64-17-5,Ethyl alcohol
110-86-1,Pyridine (and its salts)1
110-91-8, Morpholine
111-15-9,Ethoxyethyl acetate
111-42-2, Diethanolamine (and its salts)
111-46-6, Diethylene glycol
111-65-9, n-Octane
111-66-0, 1-Octene
111-76-2,Butoxyethanol 
111-84-2,Nonane  (all isomers)
112-07-2,Ethylene glycol butyl ether acetate
112-15-2,Diethylene glycol ethyl ether acetate 
112-25-4,Ethylene glycol hexyl ether
112-34-5,Diethylene glycol butyl ether
112-40-3, n-Dodecane
113282-38-5,Trinitramide
115-07-1,Propylene
115-10-6,Dimethylether
115-11-7, 2-Methylpropene (Isobutylene)
1186-53-4,"2,2,3,4-tetramethylpentane"
1189-99-7,"2,5,5-Trimethylheptane"
1190-83-6,"2,2,6-Trimethylheptane"
120-12-7,Anthracene
121-44-8,Triethylamine
122-39-4,Diphenylamine
12269-46-4,Nitronium
123-35-3,Myrcene
123-38-6,Propionaldehyde
123-42-2, Diacetone alcohol
123-63-7,Paraldehyde
123-72-8,Butyraldehyde
123-86-4,Butyl acetate
123-91-1,Dioxane
124-04-9,Adipic acid
124-17-4, Butyl carbitol acetate
124-18-5,Decane
124-40-3,Dimethylamine
127-18-4, Tetrachloroethylene
127-91-3,Pinene
129-00-0,Pyrene
1300-71-6,Dimethyl phenol
131-11-3,Dimethyl phthalate
1319-77-3,"Cresol (all isomers, and their salts)1, 5"
1330-20-7, Xylene (mixed isomers)
13475-78-0,2-Methyl-5-ethylheptane
13475-79-1,"2,4-Dimethyl-3-isopropylpentane"
13475-81-5,"2,2,3,3-Tetramethylhexane"
14042-01-4,Peroxinitrite
140-66-9,4-tert-octylphenol
140-88-5,Ethyl acrylate
141-32-2,Butyl acrylate
141-43-5, Monoethanolamine
141-78-6,Ethyl acetate
142-82-5,Heptane  (all isomers)
14452-93-8,Nitrosonium
14676-29-0,2-Methyl-3-ethylheptane
14720-74-2,"2,2,4-Trimethylheptane"
14797-65-0,Nitrite
15869-80-4,3-ethylheptane
15869-85-9,5-Methylnonane
15869-86-0,4-Ethyloctane
15869-87-1,"2,2-Dimethyloctane"
15869-89-3,"2,5-Dimethyloctane"
15869-92-8,"3,4-Dimethyloctane"
15869-93-9,"3,5-Dimethyloctane"
15869-94-0,"3,6-Dimethyloctane"
15869-95-1,"4,4-Dimethyloctane"
15869-96-2,"4,5-Dimethyloctane"
1634-04-4,Methyl tert-butyl ether
16747-25-4,"2,2,3-trimethylhexane"
16747-30-1,"2,4,4-trimethylhexane"
16747-31-2,"3,3,4-trimethylhexane"
16747-32-3,"2,2-dimethyl-3-ethylpentane"
16747-38-9,"2,3,3,4-tetramethylpentane"
16747-42-5,"2,2,4,5-Tetramethylhexane"
16747-44-7,"2,2,3,3,4-Pentamethylpentane"
16747-45-8,"2,2,3,4,4-Pentamethylpentane"
16789-46-1,2-methyl-3-ethylhexane
172335-35-2,Oxatetrazole
17301-94-9,4-Methylnonane
17302-01-1,3-Methyl-3-ethylheptane
17302-02-2,"3,3-Diethylhexane"
17302-04-4,4-Methyl-4-ethylheptane
1806-26-4,"Phenol, 4-octyl"
189-55-9,"Dibenzo(a,i)pyrene"
189-64-0,"Dibenzo(a,h)pyrene"
191-24-2,"Benzo(g,h,i)perylene"
191-30-0,"Dibenzo(a,l)pyrene"
192-65-4,"Dibenzo(a,e)pyrene"
192-97-2,Benzo(e)pyrene
193-39-5,"Indeno(1,2,3-c,d)pyrene"
19398-77-7,"3,4-Diethylhexane"
194-59-2,"Dibenzo(c,g)carbazole"
198-55-0,Perylene
20278-87-9,"3,3,4-Trimethylheptane"
20278-88-0,"3,4,4-Trimethylheptane"
20278-89-1,"3,4,5-Trimethylheptane"
2051-130-1,"2,6-Dimethyloctane"
205-82-3,Benzo(j)fluoranthene
205-99-2,Benzo(b)fluoranthene
206-44-0,Fluoranthene
207-08-9,Benzo(k)fluoranthene
208-96-8,Acenaphthylene 
218-01-9,Benzo(a)phenanthrene
2213-23-2,"2,4-dimethylheptane"
2216-30-0,"2,5-dimethylheptane"
2216-32-2,4-ethylheptane
2216-33-3,3-methyloctane
224-42-0,"Dibenzo(a,j)acridine"
226-36-8,"Dibenzo(a,h)acridine"
25154-52-3,Nonylphenol and its ethoxylates17
25167-67-3,Butene  (all isomers)
25167-70-8, Diisobutylene
25264-93-1,Hexene  (all isomers)
25551-13-7,Trimethylbenzene24
2613-61-8,"2,4,6-Trimethylheptane"
26635-64-3, Iso-octane (NO
27133-93-3,Methylindan (all isomers)
27193-28-8,"Phenol, octyl"
2807-30-9, 2-Propoxyethanol
287-92-3, Cyclopentane
291-64-5,Cycloheptane
292-64-8,Cyclooctane
3074-71-3,"2,3-dimethylheptane"
3074-75-7,2-methyl-4-ethylhexane
3074-76-8,3-methyl-3-ethylhexane
3074-77-9,3-methyl-4-ethylhexane
3178-29-8,4-n-Propylheptane
3221-61-2,2-methyloctane
3522-94-9,"2,2,5-trimethylhexane"
3697-24-3,Methylchrysene
4032-86-4,"3,3-dimethylheptane"
4032-93-2,"2,4,4-Trimethylheptane"
4032-93-3,"2,3,6-Trimethylheptane"
4032-94-4,"2,4-Dimethyloctane"
4110-44-5,"3,3-Dimethyloctane"
420-56-4,Trimethylfluorosilane
463-49-0, Propadiene
463-58-1,Carbonyl sulphide
463-82-1,"2,2-dimethylpropane"
464-06-2,"2,2,3-trimethylbutane"
50-00-0,Formaldehyde
50-32-8,Benzo(a)pyrene
509-14-8, Tetranitromethane
5131-66-8,Propylene glycol butyl ether
513-35-9,2-methylbut-2-ene
5171-84-6,"3,3,4,4-Tetramethylhexane"
51750-65-3,"2,2,4,4-Tetramethylhexane"
52896-87-4,4-Isopropylheptane
52896-90-9,3-Methyl-5-ethylheptane
52896-92-1,"2,2,3-Trimethylheptane"
52896-93-2,"2,3,3-Trimethylheptane"
52896-95-4,"2,3,4-Trimethylheptane"
52896-99-8,"2,2-Dimethyl-4-ethylhexane"
52897-00-4,"2,3-dimethyl-3-ethylpentane"
52897-03-7,"2,4-Dimethyl-4-ethylhexane"
52897-05-9,"3,3-Dimethyl-4-ethylhexane"
52897-08-2,"2,2,3,4-Tetramethylhexane"
52897-10-6,"2,3,3,4-Tetramethylhexane"
52897-11-7,"2,3,3,5-Tetramethylhexane"
52897-12-8,"2,3,4,4-Tetramethylhexane"
52897-15-1,"2,3,4,5-Tetramethylhexane"
53-70-3,"Dibenzo(a,h)anthracene"
5385-75-1,"Dibenzo(a,e)fluoranthene"
540-84-1,"2,2,4-Trimethylpentane"
542-92-7, Cyclopentadiene
5522-43-0,Nitropyrene
555-10-2,Phellandrene
560-21-4,"2,3,3-Trimethylpentane"
56-23-5,Carbon tetrachloride
562-49-2,"3,3-dimethylpentane"
563-16-6,"3,3-Dimethylhexane"
563-45-1,3-methylbut-1-ene
56-49-5,Methylcholanthrene
56-55-3,Benzo(a)anthracene
565-75-3,"2,3,4-Trimethylpentane"
57-97-6,Dimethylbenz(a)anthracene
583-48-2,"3,4-Dimethylhexane"
584-94-1,"2,3-Dimethylhexane"
5881-17-4,3-Ethyloctane
589-34-4,3-methylhexane
589-43-5,"2,4-Dimethylhexane"
589-53-7,4-Methylheptane
589-81-1,3-Methylheptane
590-18-1, cis-2-Butene
590-19-2," 1,2-Butadiene"
590-35-2,"2,2-dimethylpentane"
590-73-8,"2,2-Dimethylhexane"
5911-04-6,3-Methylnonane
591-76-4,2-methylhexane
592-13-2,"2,5-Dimethylhexane"
592-27-8,2-Methylheptane
592-41-6, 1-Hexene
594-82-1,Tetramethylbutane
5989-27-5,Limonene
609-26-7,2-Methyl-3-ethylpentane
617-78-7,3-ethylpentane
619-99-8,3-Ethylhexane
62316-46-5,Nitrosylazide
624-64-6, trans-2-Butene
62-53-3,Aniline (and its salts)1
628-63-7, Amyl acetate
630-08-0,Carbon Monoxide
64-19-7, Acetic acid/glacial acetic acid
64475-85-0,Mineral spirits
64741-65-7,Heavy alkylate naphtha
64742-47-8,Hydrotreated light distillate
64742-48-9,Hydrotreated heavy naphtha
64742-88-7,Solvent naphtha medium aliphatic
64742-89-8,Solvent naphtha light aliphatic
64742-94-5,Heavy aromatic solvent naphtha
64742-95-6,Light aromatic solvent naphtha
67-56-1,Methanol
67-66-3,Chloroform
67-72-1,Hexachloroethane
68-12-2,Dimethylformamide
68476-30-2, Fuel oil #2 diesel fuel
68919-37-9, Naphtha full range reformed
68956-56-9,Terpenes (all isomers)
68987-90-6,"Poly(oxy-1,2-ethanediyl), alpha-(octylphenyl)-omega- hydroxy-, branched"
71-23-8, n-Propanol (n-Propyl alcohol)
71-36-3,Butyl alcohol
71-43-2,Benzene
7146-60-3,"2,3-Dimethyloctane"
7154-79-2,"2,2,3,3-tetramethylpentane"
7154-80-5,"3,3,5-Trimethylheptane"
72623-87-1, Lubricating oil C20-50
7379-12-6,Methyl-3-hexanone
7446-09-5,Sulphur Dioxide
74-83-9,Bromomethane
74-85-1,Ethylene
74-86-2,Acetylene
74-87-3,Chloromethane
74-89-5, Methylamine
74-98-6,Propane
74-99-7, Methyl acetylene
75-00-3,Chloroethane
75-01-4,Vinyl chloride
75-07-0,Acetaldehyde
75-15-0,Carbon disulphide
75-21-8,Ethylene oxide
75-28-5, Isobutane
75-35-4,Vinylidene chloride
75-50-3, Trimethylamine
75-56-9, Propylene oxide
75-65-0, tert-Butyl alcohol
75-72-9,CFC-13
75-83-2,"2,2-dimethylpentane"
76-01-7,Pentachloroethane
763-69-9, 3-Ethoxypropanoic acid ethyl ester
77-73-6, Dicyclopentadiene
78-78-4, Isopentane
78-79-5, Isoprene
78-83-1, Isobutyl alcohol
78-84-2,Isobutyraldehyde
78-87-5,Dichloropropane
78-92-2,Butyl alcohol
78-93-3,Methyl ethyl ketone
79-00-5,Trichloroethane
79-01-6,Trichloroethylene
79-06-1,Acrylamide
79-10-7,Acrylic acid (and its salts)
79-20-9, Methyl acetate
79-21-0,Peracetic acid (and its salts)1
79-34-5,Tetrachloroethane
8001-58-9,Creosote
8030-30-6,Naphtha
8032-32-4,VM & P naphtha
8042-47-5,White mineral oil
8052-41-3,Stoddard solvent
80-56-8,Pinene
80-62-6,Methyl methacrylate
83-32-9,Acenaphthene
84145-82-4,Nitrate
84-51-5, 2-Ethylanthraquinone
84-65-1,Anthraquinone (all isomers)
84-74-2,Dibutyl phthalate
85-01-8,Phenanthrene
85-44-9,Phthalic anhydride
85-68-7,Butyl benzyl phthalate
86-73-7,Fluorene
871-83-0,2- Methylnonane
872-05-9, 1-Decene
872-50-4, n-Methyl pyrrolidone
88230-35-7, oxo-Hexyl acetate
9002-93-1,Polyethylene glycol octylphenol ether
9036-19-5,Ethoxylated octylphenol
90-43-7,Phenylphenol (and its salts)1
91-08-7,"Toluene-2,6-diisocyanate"
91-20-3,Naphthalene
91-22-5,Quinoline
921-47-1,"2,3,4-trimethylhexane"
922-28-1,"3,4-dimethylheptane"
92-52-4,Biphenyl
926-82-9,"3,5-dimethylheptane"
95-47-6, o-Xylene
95-50-1,Dichlorobenzene
95-63-6,Trimethylbenzene
96-33-3,Methyl acrylate
98-00-0,Furfuryl alcohol                     
98-82-8,Cumene (isopropylbenzene)
98-86-2,Acetophenone
98-95-3,Nitrobenzene
